"astro-ph/0110093","Chung-Pei Ma","Nick Sarbu, David Rusin and Chung-Pei Ma (U Penn; UC Berkeley)","Strong Gravitational Lensing and Dark Energy","12 pages, 3 figures. Accepted for publication in ApJ Letters","Astrophys.J. 561 (2001) L147-L151","10.1086/324679",,"astro-ph hep-ph",,"  We investigate the statistics of gravitational lenses in flat, low-density
cosmological models with different cosmic equations of state w. We compute the
lensing probabilities as a function of image separation \theta using a lens
population described by the mass function of Jenkins et al. and modeled as
singular isothermal spheres on galactic scales and as Navarro, Frenk & White
halos on cluster scales. It is found that COBE-normalized models with w > - 0.4
produce too few arcsecond-scale lenses in comparison with the JVAS/CLASS radio
survey, a result that is consistent with other observational constraints on w.
The wide-separation (\theta > 4'') lensing rate is a particularly sensitive
probe of both w and the halo mass concentration. The absence of these systems
in the current JVAS/CLASS data excludes highly concentrated halos in w < -0.7
models. The constraints can be improved by ongoing and future lensing surveys
of > 10^5 sources.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:07:19 GMT""}]","2009-11-07"
"astro-ph/0110110","Inese I. Ivans","Edward L. Robinson (1), Inese I. Ivans (1), William F. Welsh (1,2)
  ((1) Univ. of Texas at Austin & McDonald Obs. (2) San Diego State Univ.)","High-Dispersion Spectroscopy of the X-Ray Transient RXTE J0421+560 (= CI
  Cam) during Outburst","20 pages incl. 3 tables + 10 figures; accepted for publication in
  Feb. 2002 Astrophysical Journal; full resolution figures available at
  http://pisces.as.utexas.edu/robinson/Papers/papers00-04.html",,"10.1086/324715",,"astro-ph",,"  We obtained high dispersion spectra of CI Cam, the optical counterpart of XTE
J0421+560, two weeks after the peak of its short outburst in 1998 April. The
optical counterpart is a supergiant B[e] star emitting a two-component wind.
The cool wind (the source of narrow emission lines of neutral and ionized
metals) has a velocity of 32 km/s and a temperature near 8000 K. Dense and
roughly spherical, it fills the space around the sgB[e] star, and, based on the
size of an infrared-emitting dust shell around the system, extends to a radius
between 13 - 50 AU. It carries away mass at a high rate, Mdot > 10^(-6) solar
masses per year. The hot wind has a velocity in excess of 2500 km/s and a
temperature of 1.7 +/-0.3 x 10^4 K. From UV spectra of CI Cam obtained in 2000
March with Hubble Space Telescope, we derive a differential extinction E(B-V) =
0.85 +/- 0.05. We derive a distance to CI Cam > 5 kpc. Based on this revised
distance, the X-ray luminosity at the peak of the outburst was L(2-25 keV) >
3.0 x 10^38 erg/s, making CI Cam one of the most luminous X-ray transients. The
ratio of quiescent to peak luminosity in the 2 - 25 keV band is < 1.7 x
10^(-6). The compact star in CI Cam is immersed in the dense circumstellar wind
from the sgB[e] star and burrows through the wind producing little X-ray
emission except for rare transient outbursts. This picture (a compact star
traveling in a wide orbit through the dense circumstellar envelope of a sgB[e]
star, occasionally producing transient X-ray outbursts) makes CI Cam unique
among the known X-ray binaries. Strong circumstantial evidence suggests that
the compact object is a black hole, not a neutron star. We speculate that the
X-ray outburst was short because the accretion disk around the compact star is
fed from a stellar wind and is smaller than disks fed by Roche-lobe overflow.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:36:13 GMT""}]","2009-11-07"
"astro-ph/0110115","F. H. Briggs","F.H. Briggs, O. Moller, J.L. Higdon, N. Trentham, E. Ramirez-Ruiz","Did VV~29 collide with a dark Dark-Matter halo?","7 pages, 13 figures, accepted for publication in Astronomy and
  Astrophysics",,"10.1051/0004-6361:20011362",,"astro-ph",,"  Westerbork Radio Synthesis Telescope observation of the galaxy
VV29=Arp188=UGC10214 shows that there are at least three distinct dynamical
components whose kinematics can be traced in 21cm line emission. The system
appears to be the result of a galaxy-galaxy interaction. We identify a
sufficient number of dynamical elements containing baryons (stars and neutral
gas) that there is no compelling reason to postulate the presence of an
additional dark matter halo that is devoid of detectable baryons. The central
galaxy VV29a is massive (V_rot = 330 km/s) and gas rich (M_HI} = 6x10^9
Msolar). The distinctive optical plume (VV29b), which extends eastward from the
main galaxy, is also gas rich (M_HI = 3x10^9 Msolar) and has a very low
gradient in line of sight velocity (<30 km/s) over 70kpc. On the western side,
there is an HI feature of M_HI = 4x10^8 Msolar that participates strongly in
orbital motion about the host in the same sense of rotation as the VV29a
itself. A blue, less massive, gas-rich galaxy ""VV29c"" (M_HI = 9x10^8 Msolar)
appears clearly in the HI maps as an 170 km/s wide spectral feature, seen in
projection against or, more likely, behind the west side of the host disk. Its
high recessional velocity is counter to the host rotation direction. The
optical images of Trentham et al (2001) show signs of this blue dwarf against
the redder VV29a disk. The companion galaxy CGCG27-021=MGC09-26-54 (at
projected distance 115 kpc) is not detected in 21cm line emission
(M_HI<10^9Msolar).
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:11:42 GMT""}]","2009-11-07"
"astro-ph/0110116","Massimo Cocchi","M. Cocchi, A. Bazzano, L.Natalucci, P. Ubertini, J. Heise, E.
  Kuulkers, R. Cornelisse and J.J.M. in 't Zand","Discovery of the X-ray burster SAX J1752.3-3138","A&A Letters, in press 5 pages, 2 figures",,"10.1051/0004-6361:20011207",,"astro-ph",,"  During a 50 ks monitoring observation of the Galactic bulge performed in
September 1999 by the Wide Field Cameras on board the BeppoSAX satellite, an
X-ray burst was detected from a sky position ~3 degrees off the Galactic
centre. No previously known X-ray sources are located within the position error
circle of the observed burst. The new burster, SAX J1752.3-3138, did not show
any persistent emission during the whole observation. No other bursting events,
as well as steady emission, were reported so far by other instruments or
detected in the WFC archive, which covers ~6 Ms and ~4 Ms for burst and
persistent luminosity detection, respectively, starting from August 1996.
Unless the source is a very weak transient, this could indicate SAX
J1752.3-3138 is an atypical burster, a member of a possibly new class of
sources characterised by very low steady luminosities and accretion rates (L_x
< 10^35 erg/s) and extremely rare bursting activity. The characteristics of the
detected burst are consistent with a type I event, identifying the source as a
weakly magnetised neutron star in a low-mass X-ray binary system. Evidence for
photospheric radius expansion due to Eddington-limited burst luminosity allows
to estimate the distance to the source (~9 kpc).
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 16:49:52 GMT""}]","2009-11-07"
"astro-ph/0110117","John K. Cannizzo","John K. Cannizzo","The 2001 Superoutburst of WZ Sagittae: A Clue to the Dynamics of
  Accretion Disks","13 pages, 2 figures",,"10.1086/324680",,"astro-ph",,"  We examine the light curve of the July-August 2001 superoutburst of WZ
Sagittae. During the decline from maximum light the locally defined decay time
increases from ~4 d/mag to ~12 d/mag over the first ~15 d of the ~25 d
superoutburst, as the system faded from m_V~8.5 to m_V~10. The superoutburst is
caused by the sudden accretion of ~10^{24} g of gas onto the white dwarf, and
the deviation from exponentiality in the decay light curve is expected
qualitatively during a ``viscous decay'' in which the dominant mode of
depletion of the gas stored in the accretion disk is accretion onto the central
object. In other words, as the mass of the accretion disk decreases, the
viscous time scale increases. We show that the data are also quantitatively
consistent with the theoretical viscous decay time, both calculated via a
simple scaling and also from time dependent calculations, when one adopts
standard model parameters for WZ Sge.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 17:12:37 GMT""}]","2009-11-07"
"astro-ph/0110118","John F. Hawley","John F. Hawley (1) and Julian H. Krolik (2) ((1) University of
  Virginia, (2) Johns Hopkins University)","High Resolution Simulations of the Plunging Region in a Pseudo-Newtonian
  Potential: Dependence on Numerical Resolution and Field Topology","Accepted for publication in the Astrophysical Journal. For Web
  version with mpeg animations see
  http://www.astro.virginia.edu/VITA/papers/plunge/",,"10.1086/338059",,"astro-ph",,"  New three dimensional magnetohydrodynamic simulations of accretion disk
dynamics in a pseudo-Newtonian Paczynski-Wiita potential are presented. These
have finer resolution in the inner disk than any previously reported. Finer
resolution leads to increased magnetic field strength, greater accretion rate,
and greater fluctuations in the accretion rate. One simulation begins with a
purely poloidal magnetic field, the other with a purely toroidal field.
Compared to the poloidal initial field simulation, a purely toroidal initial
field takes longer to reach saturation of the magnetorotational instability and
produces less turbulence and weaker magnetic field energies. For both initial
field configurations, magnetic stresses continue across the marginally stable
orbit; measured in units corresponding to the Shakura-Sunyaev alpha parameter,
the stress grows from ~0.1 in the disk body to as much as ~10 deep in the
plunging region. Matter passing the inner boundary of the simulation has ~10%
greater binding energy and ~10% smaller angular momentum than it did at the
marginally stable orbit. Both the mass accretion rate and the integrated stress
fluctuate widely on a broad range of timescales.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:08:49 GMT""}]","2009-11-07"
"astro-ph/0110119","Steve Croft","Steve Croft, Steve Rawlings, Gary J. Hill, Pamela L. Gay, Joseph R.
  Tufts","The TexOx Survey of Radio-Selected Galaxy Clusters","2 pages, no figures, to be published in the ASP Conference Series,
  ""Tracing Cosmic Evolution with Galaxy Clusters"", Sesto, 3-6 July 2001, eds.
  S. Borgani, M. Mezzetti, R. Valdarnini",,,,"astro-ph",,"  We present some initial results from the TexOx (Texas-Oxford) Cluster (TOC)
survey - a new method of selecting distant galaxy clusters. The cosmic
evolution of the radio source population suggests that some massive clusters at
high redshift will contain several radio-loud AGN. We searched for extreme
over-densities at ~mJy levels in 7' x 7' boxes within the NVSS radio catalogue,
covering a large (~1100 square degree) sky area. We have acquired optical
images for ~130 cluster candidates, and followed up a subset of these with the
VLA, and with Calar Alto near-IR imaging. Ryle Telescope observations have
yielded at least one Sunyaev-Zel'dovich (SZ) detection of a massive z~1 system.
Spectroscopic follow-up with 8-m class telescopes is in progress.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 18:25:21 GMT""}]","2007-05-23"
"astro-ph/0110120","Hsiao-Wen Chen","H.-W. Chen (1), P. J. McCarthy (1), R. O. Marzke (2), R. G. Carlberg
  (3), A. E. Firth (4), S. E. Persson (1), R. G. McMahon (4), O. Lahav (4), P.
  Martini (1), R. S. Ellis (5), R. G. Abraham (3), A. Oemler (1), R. S.
  Somerville (4) ((1) Carnegie Observatories; (2) San Francisco State
  University; (3) University of Toronto; (4) IoA, Cambridge; (5) Caltech)","The z ~ 1.2 Galaxy Luminosity Function from The LCIR Survey","5 pages, 6 figures, using mrs2001.sty; to appear in the Proceedings
  of the Marseille 2001 Conference: Where's the matter? Tracing dark and and
  bright matter with the new generation of large scale surveys, Treyer &
  Tresse, eds",,,,"astro-ph",,"  We present results from the Las Campanas Infrared Survey, designed to
identify a statistically significant sample of z>=1 galaxies using photometric
redshift techniques. Here we summarize the design and strategies of the survey
and present the first estimate of the galaxy luminosity function at z>=1 based
on H-band selected galaxies identified in our survey. Results of number count
studies and luminosity function measurements indicate that most early-type
galaxies were already in place by z~1.2 with a modest space density evolution
and a mild luminosity evolution over that expected from passive evolution.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:10:04 GMT""},{""version"":""v2"",""created"":""Mon, 5 Nov 2001 19:37:53 GMT""}]","2007-05-23"
"astro-ph/0110121","D. Anish Roshi","D. Anish Roshi (1,2), Nimisha G. Kantharia (2), K. R. Anantharamaiah
  (3) ((1)National Radio Astronomy Observatory, Green Bank, WV, USA (2)National
  Centre for Radio Astrophysics, TIFR, Pune, India (3)Raman Research Institute,
  Bangalore, India)","Low-frequency Carbon Recombination Lines towards HI self-absorption
  features in the Galactic Plane","2 pages;Poster presented at XVIIth IAP Colloquium on Gaseous Matter
  In Galaxies And Intergalactic Space, 19-23 June 2001,Institut d'Astrophysique
  de Paris, France",,,,"astro-ph",,"  A survey of radio recombination lines (RLs) in the Galactic plane ($l = $
332\deg $\to$ 89\deg) near 327 MHz made using the Ooty Radio Telescope (ORT)
has detected carbon RLs from all the positions in the longitude range 0\deg $<
l < $ 20\deg and from a few positions at other longitudes. The carbon RLs
detected in this survey originate from ``diffuse'' \CII regions. Comparison of
the \lv diagram and the radial distribution of carbon line emission with those
obtained from hydrogen RLs near 3 cm from \HII regions and ``intense'' \CO
emission indicates that the distribution of the diffuse \CII regions in the
inner Galaxy is similar to that of spiral arm components. Towards several
observed positions, the central velocities of the carbon RLs coincide with \HI
self-absorption features suggesting an association of diffuse \CII regions with
cool \HI. The observed widths of the lines from the two species are, however,
different. We discuss possible reasons for the difference in the line widths.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:04:41 GMT""}]","2007-05-23"
"astro-ph/0110122","Philip Best","P.N. Best (Edinburgh), P.G. van Dokkum (CalTech), M. Franx (Leiden),
  H.J.A. Rottgering (Leiden)","Micro-Jy radio sources in the z=0.83 cluster MS1054-03","19 pages LaTeX, including 8 figures. Accepted for publication in
  MNRAS. Version with higher resolution figures available from
  http://www.roe.ac.uk/~pnb/papers.html","Mon.Not.Roy.Astron.Soc. 330 (2002) 17","10.1046/j.1365-8711.2002.05023.x",,"astro-ph",,"  An extremely deep 5 GHz radio observation is presented of the rich cluster
MS1054-03 at redshift z=0.83. 34 radio sources are detected down to a 32
micro-Jy (6 sigma), compared to about 25 expected from previous blank field
radio source count determinations; the sources giving rise to these excess
counts lie within 2 arcmins (700 kpc) of the cluster centre. Existing imaging
and spectroscopy has provided optical identifications for 21 of the radio
sources and redshifts for 11, of which 8 are confirmed cluster members. 4 of
these 8 confirmed cluster sources are associated with close galaxy pairs (10-25
kpc projected offset) of similar magnitude, implying that the radio source may
be triggered by an interaction. However, although MS1054-03 has a very high
fraction (17%) of on-going mergers (separations <~ 10 kpc), no radio emission
is detected towards any of these merger events, setting a mean upper limit of
10 Msun/yr for any star formation associated with these mergers. This supports
a hypothesis that low luminosity radio sources may be onset by initial weak
interactions rather than direct mergers. The host galaxies of the other four
confirmed cluster radio sources are all isolated, and show a range of
morphologies from early-type to Sc. A comparison between the emission line and
radio luminosities suggests that two of these four radio sources are
low-luminosity AGN, whilst for at least one of the other two the radio emission
is associated with on-going star formation. All of the radio sources associated
with the galaxy pairs appear more likely AGN than starburst origin. The overall
proportion of radio sources associated with AGN in this cluster (>75%) is
higher than at these flux density levels in the field (40-50%).
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:16:36 GMT""}]","2009-11-07"
"astro-ph/0110123","Antoinette Cowie","Antoinette Songaila (Institute for Astronomy, University of Hawaii)","The Minimum Universal Metal Density Between Redshifts of 1.5 and 5.5","This posting (v3) adds a factor of (1/c) in equation (1), and also
  the definition of Delta X, both omitted from v2. This is a typographical
  error and there is no impact on the published values of Omega_ion in the text
  and figures. v2: Revised to correct an error in equation (1) in the published
  version. This was a typographical error only and all values of Omega_ion in
  the text and figures of the published version were correctly computed with
  H_0 = 65 km/s/Mpc and Omega_m = 1. (5 pages including 4 figures.)","Astrophys.J.561:L153-L156,2001","10.1086/324761",,"astro-ph",,"  It appears that the Lyman alpha forest is becoming thick at a redshift of
about 5.5, cutting off the higher redshift intergalactic medium from view in
neutral hydrogen. However, the effects of star formation at higher redshift are
still readable in the intergalactic metal lines. In this paper I use
observations of 32 quasars with emission redshifts in the range 2.31 to 5.86 to
study the evolution of the intergalactic metal density from z = 1.5 to z = 5.5.
The C IV column density distribution function is consistent with being
invariant throughout this redshift range. From direct integration, I determine
Omega_CIV to be in the range (2.5 - 7) \times 10^{-8} and Omega_SiIV in the
range (0.9 - 3) \times 10^{-8} between z = 1.5 and z = 5. The metallicity at z
= 5 exceeds 3.5 \times 10^{-4}, which in turn implies that this fraction of the
universal massive star formation took place beyond this redshift. This is
sufficient to have ionized the intergalactic medium.
","[{""version"":""v1"",""created"":""Thu, 4 Oct 2001 20:59:06 GMT""},{""version"":""v2"",""created"":""Thu, 21 Feb 2002 00:50:26 GMT""},{""version"":""v3"",""created"":""Mon, 4 Mar 2002 02:24:33 GMT""}]","2009-10-26"
